labels,Y,X,Z,sph_theta,sph_phi,sph_radius,theta,radius,sph_theta_besa,sph_phi_besa,type,newlabels
AF3,0.3554,0.892,0.2782,21.72384504534,16.1580476078795,0.999684150119426,-21.72384504534,0.410233068845114,-73.8419523921205,-68.27615495466,EEG,AF3
FC1,0.3581,0.377,0.8532,43.5272048503894,58.6406024823602,0.999157069734284,-43.5272048503894,0.174218875097999,-31.3593975176398,-46.4727951496106,EEG,FC1
FC2,-0.3581,0.377,0.8532,-43.5272048503894,58.6406024823602,0.999157069734284,43.5272048503894,0.174218875097999,31.3593975176398,46.4727951496106,EEG,FC2
AF4,-0.3553,0.8919,0.2783,-21.720509907525,16.1656253544727,0.999587209802126,21.720509907525,0.410190970252929,73.8343746455273,68.279490092475,EEG,AF4
F7,0.809,0.5878,0,53.9987440593048,0,0.999994919987097,-53.9987440593048,0.5,-90,-36.0012559406952,EEG,F7
F3,0.5399,0.6726,0.5043,38.7542186987507,30.3150346542018,0.999100225202657,-38.7542186987507,0.33158314080999,-59.6849653457982,-51.2457813012493,EEG,F3
Fz,-0,0.7067,0.7067,-0,45,0.999424724529066,0,0.25,45,90,EEG,Fz
F4,-0.5399,0.6726,0.5043,-38.7542186987507,30.3150346542018,0.999100225202657,38.7542186987507,0.33158314080999,59.6849653457982,51.2457813012493,EEG,F4
F8,-0.809,0.5878,0,-53.9987440593048,0,0.999994919987097,53.9987440593048,0.5,90,36.0012559406952,EEG,F8
FC5,0.8709,0.3373,0.3549,68.8285897013297,20.8070046257564,0.999095646071987,-68.8285897013297,0.384405529856909,-69.1929953742436,-21.1714102986703,EEG,FC5
T3,1,6.12323399573677e-17,0,90,0,1,-90,0.5,-90,-0,EEG,T3
C3,0.7066,9.99999999999305e-05,0.7066,89.9918913417591,44.99999971311,0.999283308176415,-89.9918913417591,0.250000001593833,-45.00000028689,-0.00810865824094265,EEG,C3
Cz,-0,0.00019999999999995,1,-0,89.9885408442502,1.00000002,0,6.36619763879076e-05,0.0114591557498234,90,EEG,Cz
C4,-0.7066,9.99999999999305e-05,0.7066,-89.9918913417591,44.99999971311,0.999283308176415,89.9918913417591,0.250000001593833,45.00000028689,0.00810865824094265,EEG,C4
T4,-1,6.12323399573677e-17,0,-90,0,1,90,0.5,90,0,EEG,T4
FC6,-0.8709,0.3373,0.3549,-68.8285897013297,20.8070046257564,0.999095646071987,68.8285897013297,0.384405529856909,69.1929953742436,21.1714102986703,EEG,FC6
T5,0.809,-0.5878,-0.0001,126.001255940695,-0.00572960703868713,0.999994924987122,-126.001255940695,0.500031831150215,-90.0057296070387,36.0012559406952,EEG,T5
P3,0.5401,-0.6724,0.5045,141.227102656803,30.3258244212688,0.999174669414713,-141.227102656803,0.331523197659618,-59.6741755787312,51.2271026568026,EEG,P3
Pz,-8.64968034237776e-17,-0.7063,0.7065,-180,45.0081109540105,0.99900047047036,180,0.249954939144386,44.9918890459895,-90,EEG,Pz
P4,-0.5401,-0.6724,0.5045,-141.227102656803,30.3258244212688,0.999174669414713,141.227102656803,0.331523197659618,59.6741755787312,-51.2271026568026,EEG,P4
T6,-0.809,-0.5878,-0.0001,-126.001255940695,-0.00572960703868713,0.999994924987122,126.001255940695,0.500031831150215,90.0057296070387,-36.0012559406952,EEG,T6
PO3,0.3549,-0.8918,0.2776,158.299463260683,16.1309174017781,0.999161153167996,-158.299463260683,0.410383792212344,-73.8690825982219,68.2994632606826,EEG,PO3
TP9,0.8777,-0.2852,-0.3826,108.001061792002,-22.5176490373878,0.999039083319567,-108.001061792002,0.62509805020771,-112.517649037388,18.001061792002,EEG,TP9
Oz,-1.22464679914735e-16,-1,0,-180,0,1,180,0.5,90,-90,EEG,Oz
TP10,-0.8777,-0.2853,-0.3826,-108.006966105525,-22.5169701992679,0.999067635348078,108.006966105525,0.625094278884822,112.516970199268,-18.0069661055254,EEG,TP10
PO4,-0.3549,-0.8918,0.2776,-158.299463260683,16.1309174017781,0.999161153167996,158.299463260683,0.410383792212344,73.8690825982219,-68.2994632606826,EEG,PO4
Fpz,-0,1,0.0001,-0,0.00572957793220964,1.000000005,0,0.499968169011488,89.9942704220678,90,EEG,Fpz
CP1,0.358,-0.3767,0.8534,136.458009796218,58.6605930784002,0.999178887887449,-136.458009796218,0.17410781623111,-31.3394069215998,46.4580097962178,EEG,CP1
CP2,-0.358,-0.3767,0.8534,-136.458009796218,58.6605930784002,0.999178887887449,136.458009796218,0.17410781623111,31.3394069215998,-46.4580097962178,EEG,CP2
CP5,0.8712,-0.3372,0.3552,111.15904574389,20.8181196110674,0.999429997548603,-111.15904574389,0.384343779938514,-69.1818803889326,21.1590457438905,EEG,CP5
CP6,-0.8712,-0.3372,0.3552,-111.15904574389,20.8181196110674,0.999429997548603,111.15904574389,0.384343779938514,69.1818803889326,-21.1590457438905,EEG,CP6
